concept_id,node_type,preferred_name,source,category,synonyms
SCTID:421895002,Disease,Peripheral vascular disorder due to diabetes mellitus,SNOMEDCT,Complication,Diabetic peripheral circulatory disorder | Peripheral circulatory disorder due to diabetes mellitus | Peripheral vascular disorder due to diabetes mellitus
SCTID:421920002,Disease,Cataract of eye due to diabetes mellitus type 1,SNOMEDCT,Complication,Cataract due to diabetes mellitus type 1 | Cataract of eye due to diabetes mellitus type 1 | Diabetic cataract due to type 1 diabetes mellitus
SCTID:421966007,Disease,Non-ketotic non-hyperosmolar coma due to diabetes mellitus,SNOMEDCT,Complication,Non-ketotic non-hyperosmolar coma due to diabetes mellitus
SCTID:421986006,Disease,Persistent proteinuria due to type 2 diabetes mellitus,SNOMEDCT,Complication,Persistent proteinuria due to type 2 diabetes mellitus
SCTID:422014003,Disease,Disorder due to type 2 diabetes mellitus,SNOMEDCT,Complication,Disorder due to type 2 diabetes mellitus | Disorder due to type II diabetes mellitus
SCTID:422034002,Disease,Retinopathy due to type 2 diabetes mellitus,SNOMEDCT,Complication,Diabetic retinopathy due to type 2 diabetes mellitus | Retinopathy due to type 2 diabetes mellitus
SCTID:422088007,Disease,Disorder of nervous system due to diabetes mellitus,SNOMEDCT,Complication,Diabetic neurologic disease | Disorder of nervous system due to diabetes mellitus | Nervous system disorder due to diabetes mellitus | Neurologic complication of diabetes mellitus | Neurologic disorder due to diabetes mellitus
SCTID:422099009,Disease,Disorder of eye due to type 2 diabetes mellitus,SNOMEDCT,Complication,Diabetic oculopathy due to type 2 diabetes mellitus | Disorder of eye due to type 2 diabetes mellitus
SCTID:422126006,Disease,Hyperosmolar coma due to diabetes mellitus,SNOMEDCT,Complication,Hyperosmolar coma due to diabetes mellitus
SCTID:422166005,Disease,Peripheral circulatory disorder due to type 2 diabetes mellitus,SNOMEDCT,Complication,Peripheral circulatory disorder due to type 2 diabetes mellitus
SCTID:422183001,Disease,Skin ulcer due to diabetes mellitus,SNOMEDCT,Complication,Diabetic skin ulcer | Skin ulcer due to diabetes mellitus
SCTID:422275004,Disease,Gangrene due to diabetes mellitus,SNOMEDCT,Complication,Gangrene due to diabetes mellitus
SCTID:424736006,Disease,Peripheral neuropathy due to diabetes mellitus,SNOMEDCT,Complication,Diabetic peripheral neuropathy | Peripheral neuropathy due to diabetes mellitus
SCTID:425455002,Disease,Glomerulonephritis due to diabetes mellitus,SNOMEDCT,Complication,Diabetic glomerulonephritis | Glomerulonephritis due to diabetes mellitus
SCTID:426875007,Disease,Latent autoimmune diabetes mellitus in adult,SNOMEDCT,Complication,Latent autoimmune diabetes mellitus in adult | Latent autoimmune diabetes mellitus in adult (LADA)
SCTID:426907004,Disease,Small vessel disease due to type 1 diabetes mellitus,SNOMEDCT,Complication,Diabetes type 1 with small vessel disease | Small vessel disease due to type 1 diabetes mellitus
SCTID:427027005,Disease,Lumbosacral radiculoplexus neuropathy due to type 2 diabetes mellitus,SNOMEDCT,Complication,Amyotrophy due to type 2 diabetes mellitus | Diabetes type 2 with amyotrophy | Diabetes type II with amyotrophy | Lumbosacral radiculoplexus neuropathy due to type 2 diabetes mellitus | Lumbosacral radiculoplexus neuropathy with type 2 diabetes mellitus
SCTID:427089005,Disease,Diabetes mellitus due to cystic fibrosis,SNOMEDCT,Complication,Diabetes mellitus due to cystic fibrosis
SCTID:427134009,Disease,Small vessel disease due to type 2 diabetes mellitus,SNOMEDCT,Complication,Small vessel disease due to type 2 diabetes mellitus
SCTID:427571000,Disease,Lumbosacral radiculoplexus neuropathy due to type 1 diabetes mellitus,SNOMEDCT,Complication,Amyotrophy due to type 1 diabetes mellitus | Lumbosacral radiculoplexus neuropathy due to type 1 diabetes mellitus | Lumbosacral radiculoplexus neuropathy with type 1 diabetes mellitus | Lumbosacral radiculoplexus neuropathy with type I diabetes mellitus
SCTID:427943001,Disease,Ophthalmoplegia due to diabetes mellitus,SNOMEDCT,Complication,Diabetic ophthalmoplegia | Ophthalmoplegia due to diabetes mellitus | Ophthalmoplegia with diabetes mellitus
SCTID:428007007,Disease,Erectile dysfunction due to type 2 diabetes mellitus,SNOMEDCT,Complication,Erectile dysfunction due to type 2 diabetes mellitus | Erectile dysfunction with type 2 diabetes mellitus
SCTID:428896009,Disease,Hyperosmolality due to uncontrolled type 1 diabetes mellitus,SNOMEDCT,Complication,Hyperosmolality due to uncontrolled type 1 diabetes mellitus
SCTID:42954008,Disease,Diabetes mellitus associated with receptor abnormality,SNOMEDCT,Complication,Diabetes mellitus associated with receptor abnormality
SCTID:43959009,Disease,Cataract of eye due to diabetes mellitus,SNOMEDCT,Complication,Cataract due to diabetes mellitus | Cataract of eye due to diabetes mellitus | Diabetic cataract
SCTID:44054006,Disease,Diabetes mellitus type 2,SNOMEDCT,Complication,Diabetes mellitus type 2 | Diabetes mellitus type II | T2DM - diabetes mellitus type 2 | Type 2 diabetes mellitus | Type II diabetes mellitus
SCTID:441656006,Disease,Hyperglycemic crisis due to diabetes mellitus,SNOMEDCT,Complication,Hyperglycaemic crisis due to diabetes mellitus | Hyperglycaemic crisis in diabetes mellitus | Hyperglycemic crisis due to diabetes mellitus | Hyperglycemic crisis in diabetes mellitus
SCTID:443694000,Disease,Uncontrolled type 2 diabetes mellitus,SNOMEDCT,Complication,Type 2 diabetes mellitus uncontrolled | Type II diabetes mellitus poorly controlled | Type II diabetes mellitus uncontrolled | Uncontrolled type 2 diabetes mellitus
SCTID:444073006,Disease,Uncontrolled type 1 diabetes mellitus,SNOMEDCT,Complication,Type 1 diabetes mellitus uncontrolled | Type I diabetes mellitus poorly controlled | Type I diabetes mellitus uncontrolled | Uncontrolled type 1 diabetes mellitus
SCTID:444074000,Disease,Well controlled type 1 diabetes mellitus,SNOMEDCT,Complication,Type 1 diabetes mellitus well controlled | Type I diabetes mellitus well controlled | Well controlled type 1 diabetes mellitus
SCTID:444110003,Disease,Well controlled type 2 diabetes mellitus,SNOMEDCT,Complication,Type 2 diabetes mellitus well controlled | Type II diabetes mellitus well controlled | Well controlled type 2 diabetes mellitus
SCTID:445170001,Disease,Macroalbuminuric nephropathy due to diabetes mellitus,SNOMEDCT,Complication,Macroalbuminuric diabetic nephropathy | Macroalbuminuric nephropathy due to diabetes mellitus | Overt diabetic nephropathy
