concept_id,node_type,preferred_name,source,category,synonyms
SCTID:1003605004,Disease,Glaucoma suspect due to diabetes mellitus type 2,SNOMEDCT,Complication,Glaucoma suspect due to diabetes mellitus type 2 | Glaucoma suspect due to diabetes mellitus type II
SCTID:102621000119101,Disease,Ulcer of skin due to type 2 diabetes mellitus,SNOMEDCT,Complication,Skin ulcer due to type 2 diabetes mellitus | Ulcer of skin due to type 2 diabetes mellitus
SCTID:102781000119107,Disease,Sensory neuropathy due to type 1 diabetes mellitus,SNOMEDCT,Complication,Sensory neuropathy due to type 1 diabetes mellitus
SCTID:103981000119101,Disease,Proliferative retinopathy following surgery due to diabetes mellitus,SNOMEDCT,Complication,Proliferative diabetic retinopathy following surgery | Proliferative retinopathy following surgery due to diabetes mellitus
SCTID:104941000119109,Disease,Ischemia of retina due to type 1 diabetes mellitus,SNOMEDCT,Complication,Ischaemia of retina due to type 1 diabetes mellitus | Ischemia of retina due to type 1 diabetes mellitus | Retinal ischaemia due to type 1 diabetes mellitus | Retinal ischaemia with type 1 diabetes mellitus | Retinal ischemia due to type 1 diabetes mellitus | Retinal ischemia with type 1 diabetes mellitus
SCTID:104951000119106,Disease,Vitreous hemorrhage due to type 1 diabetes mellitus,SNOMEDCT,Complication,Vitreous haemorrhage due to type 1 diabetes mellitus | Vitreous haemorrhage with type 1 diabetes mellitus | Vitreous hemorrhage due to type 1 diabetes mellitus | Vitreous hemorrhage with type 1 diabetes mellitus
SCTID:104961000119108,Disease,Ischemia of retina due to type 2 diabetes mellitus,SNOMEDCT,Complication,Ischaemia of retina due to type 2 diabetes mellitus | Ischemia of retina due to type 2 diabetes mellitus | Retinal ischaemia due to type 2 diabetes mellitus | Retinal ischaemia with type 2 diabetes mellitus | Retinal ischemia due to type 2 diabetes mellitus | Retinal ischemia with type 2 diabetes mellitus
SCTID:105401000119101,Disease,Diabetes mellitus due to pancreatic injury,SNOMEDCT,Complication,Diabetes mellitus due to pancreatic injury
SCTID:106281000119103,Disease,Pre-existing diabetes mellitus in mother complicating childbirth,SNOMEDCT,Complication,Pre-existing diabetes mellitus in childbirth | Pre-existing diabetes mellitus in mother complicating childbirth
SCTID:10656231000119100,Disease,Ulcer of skin of toe due to type 1 diabetes mellitus,SNOMEDCT,Complication,"Diabetes type 1 with diabetic ulcer of toe, skin breakdown | Skin ulcer of toe due to diabetes mellitus type 1 | Ulcer of skin of toe due to type 1 diabetes mellitus"
SCTID:10656271000119102,Disease,Ulcer of skin of toe due to type 2 diabetes mellitus,SNOMEDCT,Complication,"Diabetes type 2 with diabetic ulcer of toe, skin breakdown | Skin ulcer of toe due to diabetes mellitus type 2 | Ulcer of skin of toe due to type 2 diabetes mellitus"
SCTID:10660471000119109,Disease,Ulcer of left foot due to type 2 diabetes mellitus,SNOMEDCT,Complication,Diabetes type 2 with diabetic ulcer of left foot | Diabetic ulcer of left foot due to diabetes mellitus type 2 | Ulcer of left foot due to type 2 diabetes mellitus
SCTID:10661671000119102,Disease,Ulcer of right foot due to type 2 diabetes mellitus,SNOMEDCT,Complication,Diabetes type 2 with diabetic ulcer of right foot | Diabetic ulcer of right foot due to diabetes mellitus type 2 | Ulcer of right foot due to type 2 diabetes mellitus
SCTID:10753491000119101,Disease,Gestational diabetes mellitus in childbirth,SNOMEDCT,Complication,Gestational diabetes mellitus in childbirth
SCTID:10754881000119104,Disease,Diabetes mellitus in mother complicating childbirth,SNOMEDCT,Complication,Diabetes mellitus in childbirth | Diabetes mellitus in mother complicating childbirth
SCTID:109171000119104,Disease,Retinal edema due to type 1 diabetes mellitus,SNOMEDCT,Complication,Retinal edema due to type 1 diabetes mellitus | Retinal edema with type 1 diabetes mellitus | Retinal oedema due to type 1 diabetes mellitus | Retinal oedema with type 1 diabetes mellitus
SCTID:110141000119100,Disease,Ulcer of lower limb due to type 1 diabetes mellitus,SNOMEDCT,Complication,Ulcer of lower limb due to type 1 diabetes mellitus
SCTID:110171000119107,Disease,Ulcer of lower limb due to type 2 diabetes mellitus,SNOMEDCT,Complication,Leg ulcer due to type 2 diabetes mellitus | Ulcer of lower extremity due to diabetes mellitus type 2 | Ulcer of lower extremity due to type 2 diabetes mellitus | Ulcer of lower limb due to type 2 diabetes mellitus
